remove_blur_effect,final_train_loss,final_val_loss,final_val_accuracy,final_lambdahat,learning_coeff_at_blur_removal,train_loss_at_blur_removal,val_loss_at_blur_removal,val_accuracy_at_blur_removal
0,0.00630129150611501,0.624909950047731,87.4,4755.81591796875,-236.360580444336,1.98887663775561,1.86617743372917,33.84
17,0.00486439822434106,0.696289494633675,85.82,4911.68994140625,1018.47967529297,0.970518620342625,1.32979777306318,55.28
34,0.005302461404686,0.766072173416615,83.8,5072.29443359375,1658.67309570313,0.75099540273754,1.56533192694187,51.52
51,0.00541981889115533,0.866086885333061,81.55,5273.4140625,2721.982421875,0.573724657905345,1.93984369039536,50.51
68,0.00596075516540975,1.0290771394968,78.22,5406.26904296875,3482.42065429688,0.409815398406009,2.17904390692711,49.12
85,0.00672794909249725,1.06866186112165,77.61,5469.73486328125,4459.3759765625,0.253141503857107,2.26302743256092,51.72
102,0.00777980100781638,1.13426841050386,75.95,5516.828125,4978.23291015625,0.140843255597414,2.36504796072841,50.92
119,0.00889240906036896,1.1341283544898,76.01,5493.82763671875,5388.39697265625,0.0683167397367711,2.4425374776125,53.17
136,0.0132036157741154,1.13858349025249,76.29,5540.47509765625,5696.498046875,0.0458664648158818,2.37913833856583,54.22
153,0.0123405494615531,1.1475546553731,75.56,5546.30078125,5727.77587890625,0.0244166544515031,2.36023710072041,54.33
187,0.0172015535098748,1.13170334398746,75.56,5568.7724609375,6007.77978515625,0.0127911153700849,2.31023079156876,53.85
204,0.0266050762040731,1.19633407890797,75.34,5577.09130859375,6010.158203125,0.0118013569807197,2.38525307476521,53.36
221,0.0361731892822272,1.15183674693108,75.51,5408.10888671875,6013.29638671875,0.0125530575596899,2.31863399744034,54.84
238,0.122667400945662,1.20058852285147,75.79,5477.0390625,6029.67041015625,0.0131360539116384,2.29515138566494,55.99
